pdb_id,ligand,source,scenario,pose_name,pose_path,status,method,rmsd_angstrom,n_atoms_ref,n_atoms_pose,n_atoms_mapped,mapping_coverage,ref_residue,pose_residue,error
3M98,E02,diffdock_sdf,diffdock,rank3_confidence-0.43|idx_3,output/diffdock_workflow/poses/3M98/complex_0/rank3_confidence-0.43.sdf,ok_low_coverage,atom_name,3.178969508207574,23.0,23.0,16.0,0.6956521739130435,E02|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M98,E02,diffdock_sdf,diffdock,rank4_confidence-0.68|idx_4,output/diffdock_workflow/poses/3M98/complex_0/rank4_confidence-0.68.sdf,ok_low_coverage,atom_name,3.291408665070055,23.0,23.0,16.0,0.6956521739130435,E02|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M98,E02,diffdock_complex_pdb,diffdock,3M98_diffdock_complex,output/diffdock_workflow/complexes/3M98_diffdock_complex.pdb,ok,rdkit_best_rms,1.569438738110951,23.0,23.0,23.0,1.0,E02|A|263,UNL|L|1,
3M98,E02,boltz_cif,crystal_pocket,3M98_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M98_crystal_pocket/3M98_crystal_pocket_model_0.cif,ok,rdkit_best_rms,1.708315884966152,23.0,23.0,23.0,1.0,E02|A|263,LIG1|E02|1,
3M98,E02,boltz_cif,default,3M98_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M98_default/3M98_default_model_0.cif,ok,rdkit_best_rms,1.8538917682300076,23.0,23.0,23.0,1.0,E02|A|263,LIG1|E02|1,
3M98,E02,boltz_cif,diffdock_pocket,3M98_diffdock_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M98_diffdock_pocket/3M98_diffdock_pocket_model_0.cif,ok,rdkit_best_rms,1.261425197922516,23.0,23.0,23.0,1.0,E02|A|263,LIG1|E02|1,
3MHI,J90,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/3MHI/complex_0/rank1.sdf,ok_low_coverage,atom_name,2.327705964015424,22.0,22.0,9.0,0.4090909090909091,J90|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3MHI,J90,diffdock_sdf,diffdock,rank1_confidence0.48|idx_1,output/diffdock_workflow/poses/3MHI/complex_0/rank1_confidence0.48.sdf,ok_low_coverage,atom_name,2.327705964015424,22.0,22.0,9.0,0.4090909090909091,J90|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3MHI,J90,diffdock_sdf,diffdock,rank2_confidence0.43|idx_2,output/diffdock_workflow/poses/3MHI/complex_0/rank2_confidence0.43.sdf,ok_low_coverage,atom_name,2.381982877639378,22.0,22.0,9.0,0.4090909090909091,J90|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3MHI,J90,diffdock_sdf,diffdock,rank3_confidence0.38|idx_3,output/diffdock_workflow/poses/3MHI/complex_0/rank3_confidence0.38.sdf,ok_low_coverage,atom_name,2.4125261020706086,22.0,22.0,9.0,0.4090909090909091,J90|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3MHI,J90,diffdock_sdf,diffdock,rank4_confidence0.38|idx_4,output/diffdock_workflow/poses/3MHI/complex_0/rank4_confidence0.38.sdf,ok_low_coverage,atom_name,2.519881319628252,22.0,22.0,9.0,0.4090909090909091,J90|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
